id,iptm,deltaG_kcal,vdW_kcal,verdict,note
1star_fullVEGF_s0,,-84.10521972268089,-4.997726011258862,有利(干净),PDBFixer+OpenMM Cα约束最小化+MM-GBSA
1star_fullVEGF_s11,,-94.41802668908258,-72.947146847738,有利(干净),PDBFixer+OpenMM Cα约束最小化+MM-GBSA
1star_fullVEGF_s42,,-123.7846652015669,-52.43659885786042,有利(干净),PDBFixer+OpenMM Cα约束最小化+MM-GBSA
2star_fullVEGF_s0,,-31.692011612167335,-0.843910897484534,有利(干净),PDBFixer+OpenMM Cα约束最小化+MM-GBSA
2star_fullVEGF_s11,,-78.24264382753336,-50.4570737597179,有利(干净),PDBFixer+OpenMM Cα约束最小化+MM-GBSA
2star_fullVEGF_s42,,4889.132499158043,4802.677278979703,穿模伪结构(ipTM作废),PDBFixer+OpenMM Cα约束最小化+MM-GBSA
4star_fullVEGF_s0,,-77.63257917388,-33.80098532651061,有利(干净),PDBFixer+OpenMM Cα约束最小化+MM-GBSA
4star_fullVEGF_s11,,20.181072752725413,75.95975946765702,穿模伪结构(ipTM作废),PDBFixer+OpenMM Cα约束最小化+MM-GBSA
4star_fullVEGF_s42,,-112.36106548748376,-63.56209956271999,有利(干净),PDBFixer+OpenMM Cα约束最小化+MM-GBSA
